Section,Item_No,Description,Specification,Source,URL_Search_Term,Est_Price_GBP_Low,Est_Price_GBP_High,Qty,Total_Low,Total_High,Notes
Harmonic Drives,1,RA Harmonic Drive,CSF-17-100-2A-R 100:1 Size 17,eBay (surplus) or AliExpress,CSF-17-100 harmonic drive,80,150,1,80,150,"Measure bore/PCD before machining. Clone: SitoDrive CS-17-I"
Harmonic Drives,2,DEC Harmonic Drive,CSF-14-100-2A-R 100:1 Size 14,eBay (surplus) or AliExpress,CSF-14-100 harmonic drive,60,120,1,60,120,"Measure bore/PCD before machining. Clone: SitoDrive CS-14-I"
Stepper Motors,3,RA Stepper Motor,"NEMA17 42mm 40mm body 1.8deg 40Ncm 5mm shaft",AliExpress,NEMA 17 stepper 42-40 high torque,8,14,1,8,14,42HS40-1704 or equivalent
Stepper Motors,4,DEC Stepper Motor,"NEMA17 42mm 40mm body 1.8deg 40Ncm 5mm shaft",AliExpress,NEMA 17 stepper 42-40 high torque,8,14,1,8,14,Buy identical to RA for interchangeability
Electronics,5,Controller Board,FYSETC E4 ESP32 OnStep native,AliExpress,FYSETC E4 OnStep,25,35,1,25,35,Supports 4 TMC driver slots native WiFi
Electronics,6,Stepper Drivers,TMC2209 UART SPI 2.8A peak,AliExpress,TMC2209 V3 stepper driver bigtreetech,4,7,4,16,28,Buy 4 (2 spare). BTT or MKS brand
Electronics,7,RA Failsafe Brake,"12V NC electromagnetic brake NEMA17 compatible D22mm body",AliExpress,electromagnetic brake NEMA17 12V NC spring,18,30,1,18,30,Normally-Closed essential. Mounts on rear motor shaft
Electronics,8,Power Supply,12V 5A DC switching PSU 60W,AliExpress / Amazon,12V 5A power supply DC switching,8,12,1,8,12,Or 24V 3A for higher torque margin
Electronics,9,Relay Module 1ch,5V optocoupler relay for brake switching,AliExpress,5V relay module optocoupler,2,3,1,2,3,Protects ESP32 GPIO from brake coil inductance
Electronics,10,Wiring Kit,"JST-XH 2.54mm connectors cable sleeving M-F",AliExpress,JST XH connector kit assortment,5,8,1,5,8,Full kit with crimping tool
GT2 Belt Drive,11,Motor Pulley,GT2 16T 5mm bore 6mm belt width,AliExpress,GT2 16T pulley 5mm bore,1.5,2.5,2,3,5,Fits NEMA17 5mm shaft directly
GT2 Belt Drive,12,Harmonic Input Pulley,GT2 48T 8mm bore 6mm belt width,AliExpress,GT2 48T pulley 8mm bore,2,4,2,4,8,3:1 ratio with 16T motor pulley. Match bore to harmonic input
GT2 Belt Drive,13,GT2 Open Belt,6mm wide 2mm pitch open-ended,AliExpress,GT2 6mm open belt metre,3,5,1,3,5,Buy 1m — cut to length on assembly
GT2 Belt Drive,14,Belt Tensioner Idler,GT2 20T smooth idler 5mm bore 6mm belt,AliExpress,GT2 smooth idler 5mm bore,1,2,2,2,4,For tensioning adjustment
Aluminium Plate,15,6061-T6 Plate — RA Housing,200x200x10mm,metals4u.co.uk / eBay,6061 aluminium plate 200x200x10,12,18,2,24,36,Main RA axis housing plates
